Algorithm,Dataset,HammingLoss,Desv1,Accuracy,Desv2,Precision,Desv3,Recall,Desv4,FMeasure,Desv5,SubsetAccuracy,Desv6,MacroFMeasure,Desv7,MacroPrecision,Desv8,MacroRecall,Desv9,MicroFMeasure,Desv10,MicroPrecision,Desv11,MicroRecall,Desv12,OneError,Desv13,Coverage,Desv14,RankingLoss,Desv15,AveragePrecision,Desv16
HOMER,bibtex-5x2x2,0.0185,0.0004,0.2710,0.0056,0.4701,0.0106,0.3729,0.0087,0.5833,0.0033,0.1164,0.0068,0.3021,0.0057,0.2817,0.0108,0.2540,0.0069,0.3564,0.0068,0.3760,0.0103,0.3389,0.0076,0.6089,0.0147,79.5769,1.1212,0.3302,0.0080,0.3346,0.0056
IBLR-ML,bibtex-5x2x1,0.0165,0.0007,0.1779,0.0088,0.4976,0.0150,0.2127,0.0094,0.6010,0.0080,0.0813,0.0053,0.2186,0.0112,0.2247,0.0138,0.1236,0.0065,0.2673,0.0059,0.4094,0.0207,0.1986,0.0037,0.6018,0.0153,44.1734,1.7731,0.1743,0.0093,0.3607,0.0142
IBLR-ML,bibtex-5x2x2,0.0166,0.0002,0.1714,0.0034,0.4864,0.0175,0.2065,0.0063,0.5898,0.0043,0.0761,0.0043,0.2094,0.0108,0.2165,0.0069,0.1156,0.0078,0.2583,0.0063,0.3992,0.0143,0.1911,0.0068,0.6068,0.0101,43.9531,0.5678,0.1741,0.0025,0.3583,0.0028
LP-J48,bibtex-5x2x1,0.0206,0.0005,0.2610,0.0102,0.3442,0.0151,0.3248,0.0132,0.6132,0.0082,0.1451,0.0066,0.2530,0.0085,0.2128,0.0091,0.2051,0.0107,0.2966,0.0108,0.3067,0.0099,0.2873,0.0127,0.7789,0.0199,90.5467,1.5633,0.4152,0.0092,0.2233,0.0153
LP-J48,bibtex-5x2x2,0.0207,0.0003,0.2578,0.0057,0.3420,0.0062,0.3206,0.0082,0.6140,0.0100,0.1421,0.0044,0.2575,0.0025,0.2128,0.0080,0.2043,0.0054,0.2946,0.0043,0.3040,0.0074,0.2859,0.0046,0.7707,0.0084,90.8978,1.1004,0.4165,0.0082,0.2243,0.0045
RAkEL-BR,bibtex-5x2x1,0.0148,0.0004,0.3013,0.0122,0.5771,0.0171,0.3664,0.0124,0.6375,0.0098,0.1389,0.0119,0.3383,0.0096,0.3788,0.0117,0.2434,0.0057,0.4020,0.0112,0.5188,0.0171,0.3283,0.0100,0.5751,0.0231,74.7168,1.5387,0.3111,0.0091,0.3462,0.0139
RAkEL-BR,bibtex-5x2x2,0.0147,0.0002,0.2990,0.0079,0.5769,0.0170,0.3649,0.0091,0.6392,0.0040,0.1347,0.0086,0.3353,0.0060,0.3859,0.0067,0.2438,0.0077,0.4022,0.0073,0.5219,0.0133,0.3273,0.0078,0.5739,0.0065,74.9636,0.9768,0.3124,0.0058,0.3445,0.0074
BR-J48,mediamill-5x2x1,0.0337,0.0002,0.4180,0.0011,0.6501,0.0014,0.5365,0.0021,0.6043,0.0021,0.0777,0.0015,0.2784,0.0040,0.3741,0.0081,0.1644,0.0025,0.5610,0.0019,0.6442,0.0009,0.4968,0.0025,0.4119,0.0033,50.9681,0.6382,0.1733,0.0032,0.5731,0.0019
BR-J48,mediamill-5x2x2,0.0336,0.0002,0.4207,0.0021,0.6502,0.0023,0.5405,0.0039,0.6064,0.0011,0.0798,0.0022,0.2764,0.0138,0.3819,0.0060,0.1625,0.0088,0.5633,0.0026,0.6446,0.0023,0.5002,0.0035,0.4132,0.0092,50.5702,0.4357,0.1726,0.0020,0.5754,0.0021
CLR,mediamill-5x2x1,0.0285,0.0001,0.4489,0.0025,0.7792,0.0023,0.5225,0.0027,0.6360,0.0025,0.1073,0.0017,0.2309,0.0085,0.8112,0.0160,0.0936,0.0027,0.5927,0.0030,0.7772,0.0025,0.4790,0.0033,0.1471,0.0017,12.7571,0.0799,0.0323,0.0001,0.7605,0.0011
CLR,mediamill-5x2x2,0.0285,0.0002,0.4492,0.0024,0.7771,0.0018,0.5230,0.0035,0.6364,0.0018,0.1048,0.0024,0.2244,0.0079,0.8045,0.0113,0.0910,0.0051,0.5928,0.0027,0.7759,0.0017,0.4796,0.0031,0.1479,0.0047,12.7002,0.1400,0.0322,0.0005,0.7602,0.0023
HOMER,mediamill-5x2x1,0.0371,0.0007,0.4094,0.0022,0.6093,0.0113,0.5616,0.0107,0.5927,0.0031,0.0691,0.0040,0.2381,0.0041,0.2446,0.0069,0.1545,0.0056,0.5492,0.0019,0.5801,0.0117,0.5218,0.0095,0.3768,0.0529,55.1457,1.4111,0.2226,0.0094,0.5141,0.0148
HOMER,mediamill-5x2x2,0.0375,0.0005,0.4082,0.0037,0.6006,0.0072,0.5680,0.0061,0.5908,0.0041,0.0672,0.0032,0.2428,0.0035,0.2591,0.0050,0.1643,0.0029,0.5494,0.0044,0.5724,0.0067,0.5284,0.0057,0.4019,0.0694,53.2963,0.6537,0.2111,0.0039,0.5091,0.0157
IBLR-ML,mediamill-5x2x1,0.0285,0.0001,0.4657,0.0019,0.7620,0.0031,0.5352,0.0017,0.6498,0.0017,0.1475,0.0017,0.2841,0.0086,0.5427,0.0226,0.1687,0.0080,0.5984,0.0021,0.7673,0.0037,0.4905,0.0021,0.1570,0.0027,14.1028,0.1460,0.0375,0.0003,0.7530,0.0013
IBLR-ML,mediamill-5x2x2,0.0285,0.0002,0.4663,0.0027,0.7627,0.0024,0.5361,0.0028,0.6498,0.0027,0.1468,0.0038,0.2770,0.0106,0.5584,0.0142,0.1692,0.0045,0.5990,0.0032,0.7677,0.0029,0.4910,0.0034,0.1561,0.0031,14.0565,0.1418,0.0373,0.0006,0.7539,0.0028
LP-J48,mediamill-5x2x1,0.0429,0.0001,0.3850,0.0002,0.5419,0.0020,0.5332,0.0013,0.5808,0.0015,0.1224,0.0036,0.2211,0.0069,0.1964,0.0060,0.1915,0.0050,0.5008,0.0006,0.5050,0.0013,0.4967,0.0013,0.6467,0.0045,59.6268,0.2906,0.3404,0.0027,0.3265,0.0035
LP-J48,mediamill-5x2x2,0.0430,0.0002,0.3847,0.0017,0.5427,0.0009,0.5325,0.0014,0.5802,0.0013,0.1240,0.0032,0.2215,0.0080,0.1960,0.0068,0.1896,0.0092,0.4994,0.0023,0.5042,0.0023,0.4947,0.0026,0.6454,0.0030,59.7885,0.3368,0.3414,0.0020,0.3259,0.0011
RAkEL-BR,mediamill-5x2x1,0.0337,0.0002,0.4180,0.0011,0.6501,0.0014,0.5365,0.0021,0.6043,0.0021,0.0777,0.0015,0.2784,0.0040,0.3741,0.0081,0.1644,0.0025,0.5610,0.0019,0.6442,0.0009,0.4968,0.0025,0.3480,0.0039,50.7654,0.2230,0.1969,0.0012,0.5129,0.0017
RAkEL-BR,mediamill-5x2x2,0.0336,0.0002,0.4207,0.0021,0.6502,0.0023,0.5405,0.0039,0.6064,0.0011,0.0798,0.0022,0.2764,0.0138,0.3819,0.0060,0.1625,0.0088,0.5633,0.0026,0.6446,0.0023,0.5002,0.0035,0.3479,0.0027,50.5314,0.3462,0.1954,0.0016,0.5162,0.0023
BR-J48,birds-5x2x1,0.0503,0.0059,0.2526,0.0622,0.5569,0.0340,0.3356,0.0840,0.6705,0.0288,0.4682,0.0511,0.4421,0.0538,0.4576,0.0525,0.2734,0.0486,0.4223,0.0540,0.5451,0.0448,0.3468,0.0610,0.7457,0.0283,4.4853,0.6657,0.1676,0.0320,0.4985,0.0593
BR-J48,birds-5x2x2,0.0516,0.0052,0.2604,0.0340,0.5495,0.0654,0.3342,0.0496,0.6921,0.0319,0.4791,0.0474,0.4380,0.0564,0.4878,0.0573,0.2702,0.0449,0.4177,0.0488,0.5272,0.0639,0.3467,0.0429,0.7659,0.0270,4.7271,0.5533,0.1814,0.0259,0.4765,0.0314
BR-J48,flags-5x2x1,0.2644,0.0359,0.5947,0.0535,0.6965,0.0454,0.7507,0.0533,0.7298,0.0421,0.1650,0.0663,0.6779,0.0537,0.6354,0.0286,0.6839,0.0767,0.7372,0.0412,0.7089,0.0401,0.7685,0.0482,0.3100,0.0893,4.0812,0.3586,0.2743,0.0600,0.7776,0.0456
BR-J48,flags-5x2x2,0.2709,0.0231,0.5885,0.0186,0.6845,0.0200,0.7554,0.0263,0.7215,0.0196,0.1391,0.0202,0.6604,0.0296,0.6336,0.0618,0.6959,0.0647,0.7344,0.0236,0.6997,0.0283,0.7734,0.0279,0.3138,0.0802,4.1699,0.1218,0.2786,0.0298,0.7699,0.0234
CLR,birds-5x2x1,0.0460,0.0049,0.2194,0.0682,0.6898,0.0884,0.2586,0.0781,0.6886,0.0399,0.4853,0.0520,0.4204,0.0385,0.5860,0.1487,0.1815,0.0447,0.3843,0.0725,0.6646,0.1017,0.2723,0.0598,0.6760,0.0368,2.4744,0.4373,0.0826,0.0184,0.6352,0.0529
CLR,birds-5x2x2,0.0460,0.0043,0.2286,0.0435,0.6980,0.0885,0.2633,0.0486,0.7121,0.0310,0.4977,0.0384,0.4070,0.0448,0.6028,0.0807,0.1818,0.0403,0.3880,0.0582,0.6666,0.0742,0.2748,0.0478,0.6729,0.0396,2.5147,0.2023,0.0827,0.0084,0.6334,0.0260
CLR,flags-5x2x1,0.2666,0.0206,0.6021,0.0289,0.6843,0.0329,0.8030,0.0307,0.7323,0.0233,0.1086,0.0427,0.6613,0.0249,0.6297,0.0225,0.7403,0.0577,0.7476,0.0254,0.6895,0.0297,0.8171,0.0297,0.2013,0.0538,3.6182,0.1175,0.1855,0.0233,0.8374,0.0272
CLR,flags-5x2x2,0.2541,0.0137,0.6216,0.0133,0.6933,0.0162,0.8178,0.0193,0.7446,0.0161,0.1441,0.0378,0.6898,0.0281,0.6328,0.0483,0.7478,0.0449,0.7597,0.0137,0.7011,0.0207,0.8296,0.0154,0.1857,0.0383,3.7016,0.1155,0.1969,0.0171,0.8306,0.0175
HOMER,birds-5x2x1,0.0585,0.0054,0.2314,0.0190,0.4652,0.0286,0.3203,0.0418,0.6365,0.0208,0.4651,0.0495,0.4129,0.0289,0.3773,0.0484,0.2808,0.0347,0.3872,0.0213,0.4399,0.0187,0.3477,0.0337,0.8109,0.0167,5.2992,0.6621,0.2090,0.0278,0.3932,0.0227
HOMER,birds-5x2x2,0.0553,0.0047,0.2603,0.0329,0.5189,0.0639,0.3418,0.0310,0.6702,0.0351,0.4822,0.0338,0.4302,0.0486,0.3948,0.0574,0.2918,0.0489,0.4111,0.0404,0.4761,0.0443,0.3621,0.0392,0.7798,0.0280,4.9380,0.3311,0.1918,0.0224,0.4408,0.0317
HOMER,flags-5x2x1,0.2740,0.0230,0.5945,0.0356,0.6860,0.0280,0.7882,0.0440,0.7195,0.0315,0.1188,0.0219,0.6887,0.0486,0.5961,0.0366,0.7028,0.0657,0.7374,0.0295,0.6864,0.0268,0.7971,0.0387,0.3047,0.1216,4.2783,0.2705,0.2910,0.0512,0.7696,0.0448
HOMER,flags-5x2x2,0.2716,0.0186,0.6058,0.0136,0.6876,0.0182,0.8042,0.0189,0.7362,0.0162,0.1343,0.0269,0.6955,0.0203,0.6313,0.0397,0.7711,0.0378,0.7450,0.0145,0.6841,0.0241,0.8188,0.0185,0.3189,0.0700,4.2470,0.1376,0.2875,0.0357,0.7636,0.0264
IBLR-ML,birds-5x2x1,0.0508,0.0056,0.2530,0.0159,0.5524,0.0463,0.3418,0.0227,0.6818,0.0252,0.4760,0.0271,0.4685,0.0159,0.4443,0.0475,0.3467,0.0254,0.4416,0.0230,0.5365,0.0388,0.3756,0.0158,0.7271,0.0308,2.6915,0.4834,0.0941,0.0206,0.5853,0.0484
IBLR-ML,birds-5x2x2,0.0511,0.0037,0.2523,0.0110,0.5628,0.0475,0.3288,0.0159,0.6860,0.0116,0.4822,0.0423,0.5010,0.0318,0.4570,0.0467,0.2997,0.0452,0.4105,0.0187,0.5383,0.0468,0.3330,0.0165,0.7085,0.0248,2.6496,0.0691,0.0899,0.0040,0.6079,0.0193
IBLR-ML,flags-5x2x1,0.2638,0.0201,0.6077,0.0341,0.7090,0.0329,0.7807,0.0385,0.7309,0.0260,0.1494,0.0295,0.6452,0.0537,0.6315,0.0481,0.6744,0.0681,0.7403,0.0250,0.7071,0.0328,0.7778,0.0306,0.2482,0.0984,3.6395,0.1053,0.2017,0.0355,0.8202,0.0406
IBLR-ML,flags-5x2x2,0.2664,0.0310,0.5961,0.0419,0.7112,0.0430,0.7621,0.0326,0.7243,0.0268,0.1499,0.0728,0.6406,0.0351,0.6649,0.0187,0.6833,0.0683,0.7366,0.0266,0.7088,0.0359,0.7677,0.0300,0.2421,0.0614,3.7159,0.1713,0.2101,0.0201,0.8154,0.0215
RAkEL-BR,birds-5x2x1,0.0503,0.0059,0.2526,0.0622,0.5569,0.0340,0.3356,0.0840,0.6705,0.0288,0.4682,0.0511,0.4421,0.0538,0.4576,0.0525,0.2734,0.0486,0.4223,0.0540,0.5451,0.0448,0.3468,0.0610,0.7783,0.0305,5.0698,0.7003,0.2029,0.0379,0.4259,0.0639
RAkEL-BR,birds-5x2x2,0.0516,0.0052,0.2604,0.0340,0.5495,0.0654,0.3342,0.0496,0.6921,0.0319,0.4791,0.0474,0.4380,0.0564,0.4878,0.0573,0.2702,0.0449,0.4177,0.0488,0.5272,0.0639,0.3467,0.0429,0.7705,0.0320,5.0760,0.4784,0.2054,0.0222,0.4264,0.0399
RAkEL-BR,flags-5x2x1,0.2644,0.0359,0.5947,0.0535,0.6965,0.0454,0.7507,0.0533,0.7298,0.0421,0.1650,0.0663,0.6779,0.0537,0.6354,0.0286,0.6839,0.0767,0.7372,0.0412,0.7089,0.0401,0.7685,0.0482,0.3973,0.1062,4.3758,0.1943,0.3427,0.0494,0.7311,0.0376
RAkEL-BR,flags-5x2x2,0.2709,0.0231,0.5885,0.0186,0.6845,0.0200,0.7554,0.0263,0.7215,0.0196,0.1391,0.0202,0.6604,0.0296,0.6336,0.0618,0.6959,0.0647,0.7344,0.0236,0.6997,0.0283,0.7734,0.0279,0.3916,0.0743,4.3765,0.2213,0.3479,0.0174,0.7307,0.0191
