Algorithm,Dataset,HammingLoss,Desv1,Accuracy,Desv2,Precision,Desv3,Recall,Desv4,FMeasure,Desv5,SubsetAccuracy,Desv6,MacroFMeasure,Desv7,MacroPrecision,Desv8,MacroRecall,Desv9,MicroFMeasure,Desv10,MicroPrecision,Desv11,MicroRecall,Desv12,OneError,Desv13,Coverage,Desv14,RankingLoss,Desv15,AveragePrecision,Desv16
CLR,medical-5x2x1,0.0109,0.0011,0.7304,0.0191,0.8678,0.0307,0.7856,0.0199,0.9234,0.0094,0.6401,0.0207,0.8080,0.0178,0.7397,0.0620,0.5184,0.0397,0.7974,0.0162,0.8240,0.0269,0.7731,0.0169,0.1503,0.0306,1.9485,0.3543,0.0275,0.0054,0.8846,0.0227
CLR,medical-5x2x2,0.0109,0.0007,0.7209,0.0099,0.8720,0.0131,0.7737,0.0131,0.9193,0.0091,0.6278,0.0120,0.7804,0.0216,0.7852,0.0289,0.5260,0.0306,0.7956,0.0068,0.8277,0.0150,0.7660,0.0060,0.1615,0.0146,2.1570,0.5120,0.0319,0.0071,0.8773,0.0058
CLR,SLASHDOT-F-5x2x1,0.0454,0.0010,0.3252,0.0080,0.6785,0.0179,0.3556,0.0074,0.8921,0.0069,0.2702,0.0110,0.4095,0.0273,0.6562,0.0729,0.2183,0.0111,0.4441,0.0074,0.6504,0.0179,0.3373,0.0053,0.5372,0.0165,2.9705,0.0715,0.1199,0.0026,0.5955,0.0078
CLR,SLASHDOT-F-5x2x2,0.0457,0.0019,0.3219,0.0203,0.6802,0.0288,0.3539,0.0199,0.8882,0.0113,0.2662,0.0234,0.3869,0.0131,0.6395,0.0612,0.2124,0.0115,0.4390,0.0202,0.6443,0.0276,0.3330,0.0175,0.5402,0.0108,2.9596,0.1055,0.1192,0.0050,0.5938,0.0086
HOMER,Corel16k001-5x2x1,0.0254,0.0003,0.1126,0.0036,0.2458,0.0057,0.1598,0.0066,0.4501,0.0069,0.0089,0.0011,0.1386,0.0086,0.1070,0.0100,0.0459,0.0042,0.1846,0.0053,0.2301,0.0042,0.1541,0.0062,0.7764,0.0089,100.9697,2.5268,0.4061,0.0142,0.1745,0.0056
HOMER,Corel16k001-5x2x2,0.0256,0.0003,0.1150,0.0057,0.2493,0.0037,0.1645,0.0094,0.4444,0.0058,0.0081,0.0025,0.1340,0.0057,0.1096,0.0090,0.0471,0.0023,0.1885,0.0070,0.2308,0.0033,0.1594,0.0085,0.7776,0.0118,100.3112,0.7568,0.4004,0.0048,0.1753,0.0065
HOMER,LLOG-F-5x2x1,0.0301,0.0009,0.1054,0.0196,0.1952,0.0234,0.1562,0.0320,0.6649,0.0296,0.0568,0.0151,0.2457,0.0297,0.0885,0.0184,0.0621,0.0080,0.1465,0.0253,0.1524,0.0232,0.1414,0.0279,0.8747,0.0201,38.8991,1.7880,0.4636,0.0181,0.1684,0.0222
HOMER,LLOG-F-5x2x2,0.0308,0.0019,0.1052,0.0156,0.1952,0.0215,0.1643,0.0180,0.6403,0.0310,0.0542,0.0152,0.2304,0.0267,0.0842,0.0116,0.0716,0.0101,0.1516,0.0138,0.1544,0.0179,0.1498,0.0149,0.8683,0.0120,38.4358,2.0382,0.4562,0.0211,0.1790,0.0149
HOMER,medical-5x2x1,0.0111,0.0011,0.7420,0.0295,0.8528,0.0246,0.7957,0.0355,0.9170,0.0114,0.6462,0.0307,0.7871,0.0151,0.6894,0.0604,0.5339,0.0417,0.7957,0.0172,0.8133,0.0243,0.7798,0.0282,0.2117,0.0326,4.9900,0.9935,0.0837,0.0219,0.8052,0.0258
HOMER,medical-5x2x2,0.0106,0.0013,0.7418,0.0281,0.8621,0.0304,0.7860,0.0273,0.9306,0.0058,0.6595,0.0292,0.8014,0.0339,0.7170,0.0828,0.5372,0.0561,0.8032,0.0188,0.8318,0.0328,0.7775,0.0233,0.2229,0.0445,5.5209,0.6436,0.0991,0.0091,0.7921,0.0311
HOMER,SLASHDOT-F-5x2x1,0.0491,0.0019,0.3521,0.0219,0.5986,0.0345,0.3815,0.0266,0.8954,0.0088,0.2948,0.0171,0.3972,0.0083,0.5551,0.0272,0.2385,0.0148,0.4412,0.0084,0.5724,0.0314,0.3609,0.0236,0.5655,0.0197,6.3977,0.3715,0.2688,0.0169,0.5061,0.0192
HOMER,SLASHDOT-F-5x2x2,0.0491,0.0023,0.3547,0.0262,0.6039,0.0477,0.3891,0.0281,0.8858,0.0107,0.2924,0.0271,0.4021,0.0139,0.5101,0.0449,0.2315,0.0097,0.4446,0.0217,0.5694,0.0410,0.3661,0.0241,0.5692,0.0232,6.5549,0.2720,0.2757,0.0097,0.5035,0.0178
IBLR-ML,Corel16k001-5x2x1,0.0192,0.0001,0.0253,0.0011,0.3193,0.0160,0.0282,0.0013,0.5535,0.0099,0.0044,0.0007,0.1168,0.0061,0.1626,0.0255,0.0183,0.0016,0.0501,0.0030,0.3263,0.0168,0.0271,0.0017,0.7174,0.0066,50.8220,0.4759,0.1735,0.0024,0.2940,0.0033
IBLR-ML,Corel16k001-5x2x2,0.0193,0.0002,0.0253,0.0011,0.3288,0.0138,0.0284,0.0018,0.5435,0.0119,0.0047,0.0008,0.1114,0.0101,0.1740,0.0400,0.0198,0.0019,0.0508,0.0030,0.3245,0.0353,0.0276,0.0018,0.7200,0.0088,51.1628,0.6079,0.1740,0.0012,0.2930,0.0037
IBLR-ML,LLOG-F-5x2x1,0.0336,0.0021,0.0276,0.0037,0.0576,0.0058,0.0488,0.0055,0.5467,0.0453,0.0144,0.0032,0.1771,0.0279,0.0487,0.0128,0.0391,0.0114,0.0490,0.0060,0.0514,0.0082,0.0471,0.0051,0.9051,0.0146,23.2348,1.2299,0.2586,0.0117,0.2070,0.0076
IBLR-ML,LLOG-F-5x2x2,0.0336,0.0014,0.0369,0.0085,0.0715,0.0164,0.0632,0.0155,0.5746,0.0424,0.0168,0.0047,0.1889,0.0364,0.0572,0.0139,0.0398,0.0114,0.0629,0.0150,0.0640,0.0134,0.0620,0.0166,0.9250,0.0086,22.8315,2.1406,0.2539,0.0217,0.1968,0.0109
IBLR-ML,medical-5x2x1,0.0195,0.0014,0.5758,0.0287,0.7372,0.0238,0.6424,0.0362,0.8727,0.0217,0.4642,0.0340,0.6401,0.0419,0.3230,0.0338,0.3362,0.0367,0.6360,0.0270,0.6578,0.0228,0.6161,0.0349,0.3078,0.0165,3.9092,0.5155,0.0658,0.0102,0.7553,0.0214
IBLR-ML,medical-5x2x2,0.0200,0.0008,0.5584,0.0193,0.7172,0.0248,0.6321,0.0352,0.8621,0.0163,0.4396,0.0197,0.6407,0.0381,0.3436,0.0158,0.3737,0.0539,0.6289,0.0141,0.6495,0.0249,0.6116,0.0335,0.3313,0.0217,3.8722,0.6508,0.0648,0.0095,0.7459,0.0162
IBLR-ML,SLASHDOT-F-5x2x1,0.0509,0.0005,0.0983,0.0084,0.7074,0.0586,0.1023,0.0090,0.9118,0.0138,0.0845,0.0070,0.2201,0.0382,0.5540,0.0754,0.0760,0.0135,0.1700,0.0139,0.6927,0.0551,0.0972,0.0094,0.6100,0.0156,3.6949,0.0223,0.1532,0.0018,0.5402,0.0086
IBLR-ML,SLASHDOT-F-5x2x2,0.0496,0.0012,0.1554,0.0521,0.7051,0.0425,0.1598,0.0534,0.9261,0.0124,0.1387,0.0488,0.2564,0.0675,0.5634,0.0882,0.0854,0.0261,0.2384,0.0600,0.6891,0.0375,0.1474,0.0466,0.5948,0.0214,3.6962,0.1408,0.1533,0.0052,0.5468,0.0143
